titleId,originalTitle,releaseYear,mainCountry,firstLanguage,genres,imdbRating,numberOfVotes,arthouse_score
tt0128725,Oi tembelides tis eforis koiladas,1978.0,GR,el,"Comedy, Drama, Romance",7.2,893.0,6
tt1401179,Japan: A Story of Love and Hate,2008.0,GB,ja,Documentary,7.8,474.0,6
tt12444426,Seize printemps,2020.0,FR,fr,"Drama, Romance",5.8,1246.0,9
tt0102780,Retrato de Família,1991.0,PT,pt,Drama,7.5,24.0,4
tt1505405,Separado!,2010.0,GB,cy,"Documentary, Family, Music",7.5,139.0,7
tt0293466,"Novo, novo vrijeme",2001.0,HR,qbo,Documentary,7.9,86.0,6
tt6423562,Fasandræberne,2014.0,DK,da,"Crime, Drama, Mystery, Thriller",7.1,26699.0,8
tt0119040,East Side Story,1997.0,FR,de,"Documentary, Music",7.2,244.0,7
tt0021031,Kohlhiesels Töchter,1930.0,DE,de,Comedy,7.8,9.0,3
tt0060630,La ligne de démarcation,1966.0,FR,de,"Drama, War",7.1,934.0,7
tt0160141,Co delat?,1996.0,CZ,cs,Documentary,7.2,11.0,4
tt0397452,Den hemmelige klubben,2003.0,NO,no,Documentary,7.8,10.0,4
tt0301269,Ekzitus,1989.0,BG,bg,Drama,7.3,24.0,5
tt1534583,TreQuarti,2009.0,IT,it,Drama,7.1,9.0,3
tt3509420,Die Arier,2014.0,DE,de,Documentary,7.0,246.0,6
tt4250058,Gehry's Vertigo,2013.0,FR,es,Documentary,8.5,14.0,2
tt13215754,Vesilnyi Spadok,2020.0,UA,uk,Documentary,8.3,30.0,4
tt1562367,Mazel Tov,2009.0,DE,de,Documentary,7.8,7.0,3
tt32083311,On Becoming a Guinea Fowl,2024.0,GB,en,"Comedy, Drama",7.2,425.0,6
tt0151272,Kölcsönkapott idö,1993.0,HU,hu,"Crime, Drama",7.2,30.0,3
tt2959378,A Parede,2015.0,PT,pt,Drama,7.0,15.0,4
tt4474096,Amori e metamorfosi,2014.0,IT,it,"Drama, Romance",9.0,15.0,5
tt1594973,Nudi verso la follia,2004.0,IT,it,"Documentary, Music",7.2,14.0,7
tt0032435,Eladó birtok,1941.0,HU,hu,"Comedy, Romance",7.0,15.0,3
tt5536056,María conversa,2016.0,ES,es,"Documentary, Biography",7.3,10.0,4
tt1653919,Oi gynaikes me ta mavra,2007.0,GR,el,Documentary,8.1,17.0,3
tt2614684,'71,2014.0,GB,en,"Action, Crime, Drama, Thriller, War",7.2,62182.0,4
tt3344948,The Double,2013.0,GB,en,"Comedy, Drama, Mystery, Sci-Fi, Thriller",6.5,53414.0,8
tt0169334,Treasure at the Mill,1957.0,GB,en,Family,7.2,71.0,6
