titleId,aggregateRating,totalVotes,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
tt2304771,7.1,30023,613,123,206,441,1443,4674,10216,6973,2500,2834
tt2925810,6.5,24,11,0,0,3,2,1,2,0,1,4
tt1794886,5.9,2986,80,52,92,219,551,839,611,280,114,148
tt0897431,4.9,382,33,19,35,57,87,62,25,22,7,35
tt2774262,6.7,57,10,1,1,4,5,6,9,3,0,18
tt1854236,6.5,15414,292,151,283,610,1538,3845,4686,2388,833,788
tt1426362,6.9,3409,142,46,60,108,216,527,1076,788,204,242
tt0419677,7.5,62798,627,343,506,938,2170,5501,13096,18675,11330,9612
tt0455824,6.6,133506,2903,2028,3258,5991,13116,26840,35987,22596,9915,10872
tt0069427,6.6,7456,116,79,142,284,792,1788,2195,1175,373,512
tt8368408,6.1,55516,1814,1144,1898,3586,7655,13537,12631,6900,2588,3763
tt1935302,4.3,11677,1309,1017,1581,2219,2170,1483,843,490,149,416
tt2639254,6.5,26765,376,232,446,1030,2919,6709,7554,3983,1570,1946
tt1139328,7.2,176431,1556,857,1445,3258,8825,26570,58910,49521,16372,9117
tt0040416,7.5,19822,309,172,231,446,834,1893,4123,6202,2799,2813
tt4074928,5.9,5722,214,126,248,448,950,1442,1160,660,223,251
