titleId,aggregateRating,totalVotes,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10
tt5177088,6.1,55338.0,1474.0,936.0,1693.0,3396.0,7899.0,15750.0,14257.0,6027.0,1788.0,2118.0
tt0283947,7.6,26684.0,342.0,128.0,159.0,351.0,810.0,2161.0,6551.0,9328.0,4178.0,2676.0
tt0083791,7.1,76719.0,824.0,634.0,1021.0,1928.0,4638.0,10869.0,20530.0,17119.0,8389.0,10767.0
tt1331307,5.6,13607.0,632.0,510.0,782.0,1326.0,2457.0,2959.0,2435.0,1235.0,513.0,758.0
tt2088003,5.4,37086.0,1587.0,1392.0,2331.0,4316.0,8347.0,9391.0,5557.0,2141.0,657.0,1367.0
tt0078437,5.9,4588.0,221.0,116.0,214.0,325.0,687.0,1056.0,911.0,494.0,180.0,384.0
tt0830515,6.5,495331.0,5516.0,3849.0,7640.0,18215.0,48883.0,128101.0,164386.0,74011.0,22177.0,22553.0
tt0058962,7.3,6656.0,68.0,29.0,42.0,103.0,255.0,784.0,1932.0,2095.0,759.0,589.0
tt12532368,6.3,3527.0,95.0,40.0,67.0,153.0,360.0,815.0,757.0,352.0,144.0,744.0
tt6210996,5.2,13547.0,661.0,589.0,987.0,1831.0,3516.0,3170.0,1593.0,617.0,190.0,393.0
tt1510981,7.3,579.0,25.0,5.0,3.0,14.0,30.0,71.0,138.0,128.0,77.0,88.0
tt0426578,7.6,29752.0,335.0,133.0,185.0,317.0,912.0,2634.0,7611.0,9966.0,4472.0,3187.0
tt8228288,7.0,321767.0,4800.0,2630.0,4463.0,8316.0,20327.0,52006.0,105689.0,76074.0,28776.0,18686.0
tt24577462,5.2,16890.0,701.0,742.0,1217.0,2111.0,4037.0,4239.0,2225.0,865.0,250.0,503.0
tt3859310,5.7,13201.0,660.0,450.0,629.0,1226.0,2141.0,2874.0,2516.0,1459.0,559.0,687.0
tt2474976,5.7,19970.0,496.0,472.0,933.0,1884.0,4174.0,5764.0,3757.0,1454.0,380.0,656.0
tt0117737,6.5,32287.0,562.0,474.0,725.0,1361.0,3302.0,7014.0,8252.0,5173.0,2526.0,2898.0
tt0114287,6.9,49213.0,522.0,317.0,519.0,1194.0,3478.0,9255.0,16239.0,10151.0,3950.0,3588.0
tt1506999,5.8,92804.0,3861.0,2819.0,4420.0,8228.0,16451.0,24048.0,18970.0,8335.0,2482.0,3190.0
tt0069400,7.0,8323.0,83.0,91.0,131.0,245.0,534.0,1281.0,2478.0,2035.0,737.0,708.0
tt0039195,6.7,1275.0,15.0,7.0,19.0,53.0,107.0,274.0,423.0,220.0,67.0,90.0
