titleId,tmdb_id,budget,revenue,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,original_language,tagline,status,spoken_languages,production_countries
tt0083791,11639.0,15000000.0,44626631.0,2.2744,7.1,1233.0,en,"Another world, another time... in the age of wonder.",Released,English,"GB, US"
tt1331307,26587.0,0.0,0.0,2.0037,5.512,256.0,en,Your Time Will Come.,Released,English,GB
tt2088003,230179.0,8500000.0,7500000.0,4.3939,5.491,1218.0,en,,Released,"Finnish, English","FI, DE, GB"
tt0078437,30876.0,0.0,0.0,1.6099,5.719,105.0,it,A stone-age world of horrors ... ONLY ONE SURVIVED.,Released,Italian,IT
tt0830515,10764.0,200000000.0,589593688.0,6.9888,6.334,8409.0,en,Have Regrets. Get Revenge.,Released,"English, Spanish, Italian, French, German","GB, US"
tt0058962,17744.0,0.0,0.0,2.0718,7.0,96.0,en,“Hunt her down … until she comes up!”,Released,"English, Russian","GB, US"
tt12532368,778855.0,20000000.0,10885116.0,2.8517,7.3,277.0,en,,Released,English,"BE, FR, US"
tt6210996,505177.0,0.0,68260.0,2.3691,5.244,598.0,en,There are some secrets we cannot escape,Released,English,GB
tt1510981,40150.0,275000.0,0.0,0.3922,6.5,21.0,en,Funny and heartfelt,Released,English,GB
tt0426578,2117.0,0.0,0.0,1.2698,7.111,454.0,de,The true story of a young woman who did what few in Nazi Germany dared even think!,Released,German,DE
tt8228288,619264.0,1203235.0,1090116.0,6.7569,6.968,7712.0,es,"There are 3 kinds of people; the ones above, the ones below, and the ones who fall.",Released,Spanish,ES
tt24577462,1062215.0,12000000.0,12977758.0,3.3164,5.92,484.0,en,Be careful what you let in.,Released,English,US
tt3859310,341689.0,0.0,0.0,1.8848,5.992,420.0,en,Some girls are out of this world,Released,English,"GB, US"
tt2474976,312831.0,0.0,0.0,2.0805,5.721,675.0,en,Nature has a dark side.,Released,"English, Irish","IE, GB"
tt0117737,14553.0,10000000.0,4800000.0,3.5943,6.7,599.0,en,The most beautiful place to be is in love.,Released,"English, Spanish, Italian, German, French","IT, GB, FR, US"
tt0114287,11780.0,28000000.0,31600000.0,2.1479,6.706,698.0,en,Honor made him a man. Courage made him a hero. History made him a legend.,Released,English,"GB, US"
tt1506999,70435.0,23000000.0,33372606.0,6.5004,5.7,1463.0,en,They gave her no choice,Released,"English, Spanish","US, IE, ES"
tt0069400,11378.0,0.0,0.0,1.4963,7.1,207.0,fr,The laughs are bumper to bumper!,Released,"French, Dutch, English","FR, IT"
